# SELECT * FROM "vid_lists" WHERE "reference" = 'https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18' ORDER BY "createdAt" LIMIT 100 (0.002 s)
url,id,title,downloaded,available,reference,createdAt,updatedAt
https://www.youtube.com/watch?v=b44iEPgd4mU,b44iEPgd4mU,ICE EXPEDITION Lv3 - FULL AUTO GUIDE!!! Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:15.346+00,2023-02-16 09:48:15.346+00
https://www.youtube.com/watch?v=vTuTapnhhAs,vTuTapnhhAs,ICE EXPEDITION Lv3 with LANDY & MORT!!! - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:15.346+00,2023-02-16 09:48:15.346+00
https://www.youtube.com/watch?v=-07s_USRAiA,-07s_USRAiA,Epic Seven - BANSHEE 13 with 4 MAGES (DAGGER SICAR MISSION)!!!,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:15.597+00,2023-02-16 09:48:15.597+00
https://www.youtube.com/watch?v=FdfhOaZeA7s,FdfhOaZeA7s,Epic Seven - JENA/FLAN vs WYVERN 13 (ARE THEY GOOD OR BAD?!!),f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:15.597+00,2023-02-16 09:48:15.597+00
https://www.youtube.com/watch?v=jS9TH2AkMkw,jS9TH2AkMkw,Epic Seven - 1-SHOT GOLEM 13 with ZEALOT CARMAINEROSE!!!,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:15.597+00,2023-02-16 09:48:15.597+00
https://www.youtube.com/watch?v=XVBIF3NNLEc,XVBIF3NNLEc,Epic Seven - 1-SHOT WYVERN 13 with FAIRYTALE TENEBRIA!!!,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:15.597+00,2023-02-16 09:48:15.597+00
https://www.youtube.com/watch?v=xUfm5l7OCHI,xUfm5l7OCHI,Epic Seven - 1-SHOT GOLEM 13 with HASTE!!!,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:15.597+00,2023-02-16 09:48:15.597+00
https://www.youtube.com/watch?v=GFfStDcdJ34,GFfStDcdJ34,Epic Seven - 1-SHOT BANSHEE 13 with SIGRET!!!,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:15.597+00,2023-02-16 09:48:15.597+00
https://www.youtube.com/watch?v=wkS2knEtA70,wkS2knEtA70,Epic Seven - 1-SHOT AZIMANAK 13 with the MOUSE GOD (MIGHTY SCOUT)!!!,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:15.598+00,2023-02-16 09:48:15.598+00
https://www.youtube.com/watch?v=eFzJ61jGVuE,eFzJ61jGVuE,Epic Seven - 1-SHOT BANSHEE 13 with a MOUSE (MIGHTY SCOUT)!!!,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:15.598+00,2023-02-16 09:48:15.598+00
https://www.youtube.com/watch?v=aJoU8f7amrA,aJoU8f7amrA,Epic Seven - FIRE EXPEDITION Lv3 - FULL AUTO GUIDE (950k point!!!),f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:15.598+00,2023-02-16 09:48:15.598+00
https://www.youtube.com/watch?v=C6wNbEolVtc,C6wNbEolVtc,Epic Seven - CAIDES 13 AUTO TEAM (3min run!!!),f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:15.598+00,2023-02-16 09:48:15.598+00
https://www.youtube.com/watch?v=1yahcRAhV1A,1yahcRAhV1A,WYVERN GUIDE (Strategy/Team Comp/Full 3star team?) - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:16.955+00,2023-02-16 09:48:16.955+00
https://www.youtube.com/watch?v=a7sC-YgFWI8,a7sC-YgFWI8,GOLEM GUIDE (Strategy/Team Comp/NO 5STAR TEAM) - Epic Seven,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:16.955+00,2023-02-16 09:48:16.955+00
https://www.youtube.com/watch?v=JXrmnIvoUCw,JXrmnIvoUCw,Epic Seven - ALL HUNTS 13 (Auto team 1min run)!!!,f,t,https://www.youtube.com/playlist?list=PLOO4NsmB3T4eli11PYPyaGYGV0JLveI18,2023-02-16 09:48:16.956+00,2023-02-16 09:48:16.956+00
